,0
ACIAD_RS03975,3.13492904870555
ACIAD_RS00460,2.75064473102809
ACIAD_RS07430,2.29543308543196
ACIAD_RS03400,3.89597380066458
ACIAD_RS05630,2.63891238690711
ACIAD_RS02305,2.95932724930061
ACIAD_RS04640,3.87857297123292
ACIAD_RS07860,3.39620261745373
ACIAD_RS04735,2.17656200627683
ACIAD_RS11655,2.36816645664468
ACIAD_RS07300,2.59652443451344
ACIAD_RS07270,2.95047885102102
ACIAD_RS11395,2.12820605657989
ACIAD_RS14000,2.30089800175845
ACIAD_RS13210,2.91305978199773
ACIAD_RS08385,2.37764556324478
ACIAD_RS13885,2.49683887543516
ACIAD_RS04695,3.44963938059402
ACIAD_RS08450,2.68893087449821
ACIAD_RS08845,3.81848174783059
ACIAD_RS00880,3.58661412190175
ACIAD_RS13200,2.23452386154041
ACIAD_RS16055,2.39570073352961
ACIAD_RS06600,3.82095434955836
ACIAD_RS08010,4.63510780666846
ACIAD_RS07800,2.64393597562429
ACIAD_RS02715,2.05963942151676
ACIAD_RS14395,6.48684788933642
ACIAD_RS03080,4.29867375521908
ACIAD_RS17010,4.19409295804819
ACIAD_RS04575,3.24916229237956
ACIAD_RS13245,2.07081385242875
ACIAD_RS16420,5.83943666751525
ACIAD_RS12265,3.07146378185921
ACIAD_RS06170,2.7848092708296
ACIAD_RS16355,2.8400594951693
ACIAD_RS01590,2.75683904165142
ACIAD_RS06820,2.35517200207164
ACIAD_RS08495,3.68419659220857
ACIAD_RS14160,2.63943588802094
ACIAD_RS07605,3.52402761762795
ACIAD_RS11645,2.79502078863794
ACIAD_RS13135,3.28261227387655
ACIAD_RS15995,2.72009886376696
ACIAD_RS01560,3.25241039987267
ACIAD_RS01640,2.96902916770979
ACIAD_RS15590,3.50071432265411
ACIAD_RS15930,3.0578632877563
ACIAD_RS00345,2.91768663087714
ACIAD_RS07845,4.46266610102832
ACIAD_RS16810,4.19835960288227
ACIAD_RS14605,2.5154730515952
ACIAD_RS08785,2.25676952424779
ACIAD_RS02785,3.05714135516944
ACIAD_RS11930,3.77104469973597
ACIAD_RS14725,3.65896346572768
ACIAD_RS11915,2.60255970138327
ACIAD_RS06895,2.17097163324704
ACIAD_RS12665,2.23502565945635
ACIAD_RS13265,3.73493975622858
ACIAD_RS00125,2.87546540614036
ACIAD_RS10160,2.73383553063991
ACIAD_RS12060,3.53752086990008
ACIAD_RS15345,2.68507780260472
ACIAD_RS06285,2.81730694286739
ACIAD_RS15215,2.46806030216812
ACIAD_RS05790,3.14401365343714
ACIAD_RS12460,5.09259929882365
ACIAD_RS12380,2.02478899118643
ACIAD_RS04375,2.22098221320693
ACIAD_RS03165,3.40840357009041
ACIAD_RS03520,2.60218622524192
ACIAD_RS00545,2.46321095139775
ACIAD_RS15820,3.19428712895411
ACIAD_RS10635,3.23302779308362
ACIAD_RS00975,2.13751733936052
ACIAD_RS02685,3.25005198531115
ACIAD_RS11380,3.2383530378713
ACIAD_RS06875,2.21794175448901
ACIAD_RS09125,2.3319430793871
ACIAD_RS11435,2.50130077882079
ACIAD_RS13045,2.09813692515463
ACIAD_RS03060,2.22762697172332
ACIAD_RS03375,3.22392752269286
ACIAD_RS07370,3.93796750734002
ACIAD_RS14565,5.06509708631637
ACIAD_RS00055,3.73004244615307
ACIAD_RS00715,2.78603581294879
ACIAD_RS12840,2.37174989033059
ACIAD_RS02460,3.28263900134869
ACIAD_RS16225,2.36973049234359
ACIAD_RS06205,3.49070951888801
ACIAD_RS08185,2.64603331816093
ACIAD_RS15720,3.95552440445331
ACIAD_RS06515,2.9143789796933
ACIAD_RS11515,2.23101802903287
ACIAD_RS14980,4.30247678258641
ACIAD_RS16570,3.51411398711765
ACIAD_RS13845,2.45429903013588
ACIAD_RS17060,2.86116301670452
ACIAD_RS05370,4.42948806569927
ACIAD_RS00560,3.41366586875022
ACIAD_RS00480,2.62783714037559
ACIAD_RS16360,2.05009185627469
ACIAD_RS07565,3.12295734583152
ACIAD_RS12795,3.7860220586766
ACIAD_RS01730,2.68108772681948
ACIAD_RS06335,3.4293918094228
ACIAD_RS07545,2.2351866238343
ACIAD_RS02680,3.23619019378388
ACIAD_RS00505,2.74188804986891
ACIAD_RS02830,2.43318054576522
ACIAD_RS03000,2.67890567337953
ACIAD_RS17130,3.2936777990416
ACIAD_RS07795,2.70869860249341
ACIAD_RS00120,2.91111238922462
ACIAD_RS05120,2.91211304447794
ACIAD_RS00025,5.76895927430027
ACIAD_RS12430,2.03452207589331
ACIAD_RS01715,5.06579579590906
ACIAD_RS10730,3.04558226460319
ACIAD_RS01090,2.25854375936376
ACIAD_RS02630,3.89293926098607
ACIAD_RS13740,2.66219801731603
ACIAD_RS07900,2.55830406479756
ACIAD_RS06585,2.54374409519152
ACIAD_RS05535,2.28731450395302
ACIAD_RS15845,4.40699924885076
ACIAD_RS16130,2.92484592309727
ACIAD_RS14470,3.55750168982729
ACIAD_RS03365,3.63883002103937
ACIAD_RS15915,2.60688592209291
ACIAD_RS07740,2.10527807641621
ACIAD_RS02560,2.6972336408207
ACIAD_RS15515,3.08773688466459
ACIAD_RS10200,3.01757492166454
ACIAD_RS15715,2.2686257784777
ACIAD_RS09400,2.25241892810083
ACIAD_RS13270,4.76622951808186
ACIAD_RS08580,2.03681642205784
ACIAD_RS08780,3.04521557802416
ACIAD_RS00060,2.89931413516593
ACIAD_RS12190,2.51486681100113
ACIAD_RS15055,2.1091630790789
