"","LB0R1","LB0R2","LB0R3","LB1R1","LB1R2","LB1R3","M9LQR1","M9LQR2","M9LQR3","M9SFR1","M9SFR2","M9SFR3"
"ACIAD_RS00005",450.610858779708,326.182245018257,489.818724433407,511.125348224788,468.788377761431,496.487734765822,164.501999130772,145.865223329321,112.282414998499,226.15523318299,200.416368725814,239.567062247179
"ACIAD_RS00010",364.501548103809,296.389221063833,372.574880819028,494.637433765924,329.920877179271,407.308590697349,64.2585934104577,108.048313577275,105.677567057411,221.742448145273,178.976478117936,264.784647746882
"ACIAD_RS00015",284.24432650297,254.781722093001,213.644337252869,194.857170877485,260.929380074759,242.670170878631,177.353717812863,126.956768453298,128.79453485122,54.8840139066037,60.5909951961762,64.5570188792399
"ACIAD_RS00020",1643.60101736717,1489.13752489437,1266.2335110353,1378.98920928682,1807.93102668748,1164.47382350947,460.091528818877,451.101709185121,488.758747640526,411.216405702242,414.815274804591,430.716360334929
"ACIAD_RS00025",5.85208907506115,6.67774674840526,6.51354686746552,17.9868157733063,7.0760509850782,6.85993415911325,372.699841780655,415.986007272507,250.984221761351,30.8894952640182,53.1336419412622,32.530685294617
"ACIAD_RS00030",112.025705151171,74.9962327128591,109.427587373421,166.378045903083,100.833726537364,112.331421855479,15.4220624185099,35.1157019126142,26.4193917643527,60.1241961388925,56.8623185687192,61.5309086192755
"ACIAD_RS00035",105.337603351101,114.03536754969,117.243843614379,137.898920928682,117.639347626925,109.758946545812,1372.56355524738,1369.51237459195,1225.19929307186,2238.10941131703,2322.96553890571,1690.3347560451
"ACIAD_RS00040",81.0932343258473,77.0509240200607,123.757390481845,86.9362762376472,77.8365608358602,114.046405395258,254.464029905413,248.511121227731,227.867253967542,202.712312670119,188.298169686578,169.462174558005
"ACIAD_RS00045",871.125259459102,1032.99605469561,543.229808746624,503.630841652577,1011.87529086618,866.066687588048,2166.79976980064,1636.93195069571,1453.0665470394,1611.21813689638,1229.53111790394,1784.39634995899
"ACIAD_RS00050",157.170392301642,127.904533873301,165.444090433624,170.87474984641,157.44213441799,169.783370438053,79.6806558289676,105.347105737843,85.8630232341464,85.2219110409073,98.8099306276104,87.2528458289726
"ACIAD_RS00055",140.450137801468,107.357620801285,131.573646722804,184.36486167639,132.675955970216,136.341191412376,12.8517186820915,10.8048313577275,9.90727191163228,81.9123222626196,63.3875026667689,80.4440977440528
"ACIAD_RS00060",19.2282926752009,25.1699685132198,15.6325124819173,19.4857170877485,25.6506848209085,18.8648189375614,172.213030340027,175.578509563071,115.584838969043,56.5388082957476,70.8448559216829,59.7656776342963
"ACIAD_RS00065",165.53051955173,191.086291569751,166.746799807117,146.892328815335,173.363249134416,185.218222296058,102.813749456732,97.2434822195471,105.677567057411,71.431957798042,74.5735325491399,90.278956088937
"ACIAD_RS00095",38.4565853504018,57.5313566016453,40.3839905782862,46.465940747708,52.1858760149517,59.1669321223518,244.182654959739,267.419576103755,247.681797790807,123.006382926358,138.893204372773,120.287882833584
"ACIAD_RS00100",16.7202545001747,16.9512032844134,13.027093734931,2.99780262888439,13.2675955970216,19.7223107074506,41.125499782693,56.7253646280691,56.1412074992496,23.1671214480136,28.8972438627917,24.208882079715
"ACIAD_RS00105",34.2765217253582,45.716881585236,46.8975374457518,37.4725328610548,34.4957485522562,35.1571625654554,79.6806558289676,89.1398587012515,62.7460554403378,86.8767054300511,87.6239007452394,83.4702080040172
"ACIAD_RS00110",86.9453234009085,76.5372511932603,66.4381780481483,103.424190696511,82.2590927015341,54.879473272906,38.5551560462746,13.5060391971593,16.5121198527205,11.3077616591495,12.1181990392352,12.8609686048486
"ACIAD_RS00115",99.4855142760395,144.855737157714,143.298031084241,103.424190696511,143.290032447834,107.186471236145,20.5627498913465,18.908454876023,19.8145438232646,33.9232849774485,29.829413019656,22.4436510947357
"ACIAD_RS00120",1055.04805896102,961.081858943557,927.52907392709,1271.06831464698,1074.67524335875,940.668471568404,154.220624185099,121.554352774434,161.818774556661,368.743349714217,224.652766804284,357.081010675796
"ACIAD_RS00125",142.958175976494,145.369409984515,192.800987276979,205.349480078581,143.290032447834,123.478814864039,12.8517186820915,29.7132862337505,23.1169677938086,79.7059297437612,76.4378708628684,79.6875701790617
"ACIAD_RS00130",13.3762036001398,24.142622859619,22.1460593493828,11.9912105155375,19.459140208965,12.0048847784482,17.9924061549282,18.908454876023,26.4193917643527,126.315971704646,80.1665474903254,199.723277157648
"ACIAD_RS00135",70.2250689007338,72.4278685788571,61.2273405541759,56.9582499488034,66.3379779851081,55.7369650427952,33.414468573438,32.4144940731824,42.9315116170732,25.0977149020148,34.4902588039772,35.3046196995843
"ACIAD_RS00140",61.0289289256377,55.4766652944437,126.362809228831,158.883539330873,56.6084078806256,95.1815864576964,38.5551560462746,37.8169097520461,49.5363595581614,39.9908644043092,47.5406270000767,50.1829951444091
"ACIAD_RS00145",8.36012725008736,4.62305544120364,6.51354686746552,16.4879144588641,7.0760509850782,5.14495061933494,2.57034373641831,10.8048313577275,16.5121198527205,6.06757942686071,6.52518409804974,5.29569295493765
"ACIAD_RS00150",11.7041781501223,7.70509240200607,10.4216749879448,7.49450657221097,9.72957010448252,6.00244238922409,2.57034373641831,13.5060391971593,9.90727191163228,11.3077616591495,9.32169156864249,12.3566168948545
"ACIAD_RS00155",8.36012725008736,7.70509240200607,3.90812812047931,13.4901118299797,7.96055735821297,6.00244238922409,7.71103120925493,10.8048313577275,13.2096958821764,8.27397194571916,7.45735325491399,8.57397906989905
"ACIAD_RS00160",9.19613997509609,8.21876522880647,16.9352218554104,11.9912105155375,5.30703823880865,7.71742592900241,10.2813749456732,10.8048313577275,13.2096958821764,15.4447476320091,8.38952241177824,9.58268248988717
