"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD0001",319.113031533298,0.226239822394674,0.184526342609204,1.22605704527408,0.220177208803091,0.995379167273918
"ACIAD0002",267.286740412729,0.25177454664219,0.218268625841952,1.15350772778723,0.2487020475218,0.995379167273918
"ACIAD0003",171.841245738549,-0.107072485721509,0.189647469541964,-0.56458694640171,0.572354746056598,0.995379167273918
"ACIAD0004",950.004629290145,-0.0168700686124567,0.178577688219387,-0.0944690727081841,0.924736548953428,0.995379167273918
"ACIAD0005",94.8538465612076,0.687257308748722,0.496649191194488,1.38378823711724,0.166423305870128,0.995379167273918
"ACIAD0007",77.5549239029517,0.356590763920328,0.251773890007118,1.41631351809454,0.156683731681904,0.995379167273918
"ACIAD0008",910.410519978153,0.107494678413958,0.192060430281473,0.559691958704977,0.575689568191077,0.995379167273918
"ACIAD0009",154.840341577318,0.00213131911915733,0.227248322655804,0.00937881122399078,0.992516901030704,0.999812731679445
"ACIAD0010",1225.16629124484,-0.0412269295903946,0.283633048213946,-0.145353053355394,0.884432128925648,0.995379167273918
"ACIAD0011",124.252174705137,0.153382871834994,0.178940244425636,0.857173702468796,0.391348893702769,0.995379167273918
"ACIAD0013",90.9855076419898,0.251717843344614,0.21559831845258,1.16753157052094,0.242995766540973,0.995379167273918
"ACIAD0014",64.4754175676135,0.0436063247308388,0.317232055524291,0.137458759200013,0.890668188641641,0.995379167273918
"ACIAD0015",132.392859315154,-0.0557844167411608,0.180324857004798,-0.309355114251812,0.757051410459328,0.995379167273918
"ACIAD0017",119.522090360088,0.185624481963043,0.232073211424585,0.79985311886531,0.423795902614503,0.995379167273918
"ACIAD0018",26.0503669510471,-0.28895637883998,0.392581786389847,-0.736041224676269,0.461705609968367,0.995379167273918
"ACIAD0019",60.2763576361169,-0.250895646482124,0.249112293881634,-1.00715883015126,0.313858453841481,0.995379167273918
"ACIAD0020",47.917460794874,0.0390561738151211,0.276550343003832,0.141226271466168,0.88769119243914,0.995379167273918
"ACIAD0021",73.8584832760957,-0.125155155477187,0.244676203856446,-0.511513394047167,0.608991611977101,0.995379167273918
"ACIAD0022",634.537533967451,0.156688484811565,0.204238081705668,0.7671854509355,0.442971261904064,0.995379167273918
"ACIAD0023",104.533853294483,-0.0325405858760058,0.228525323800375,-0.14239378522632,0.886768971038935,0.995379167273918
"ACIAD0024",47.7631949837729,-0.445802177803071,0.423314595595691,-1.0531226242642,0.292284795015449,0.995379167273918
"ACIAD0025",48.8458119929299,-0.196141879086235,0.237808754659061,-0.824788302547724,0.409491788841964,0.995379167273918
"ACIAD0026",68.0504799224118,0.362244073981766,0.359911022608358,1.00648230042109,0.314183621595692,0.995379167273918
"ACIAD0027",7.99571394495478,0.492851167786022,0.55987962611882,0.880280590316439,0.378707324705083,0.995379167273918
"ACIAD0028",9.33372998185474,-0.324113858218669,0.493432767608031,-0.656855157369961,0.511274054211645,0.995379167273918
"ACIAD0029",8.23108705940085,0.298932150520776,0.521808077089958,0.572877584011105,0.566727583130963,0.995379167273918
"ACIAD0030",10.8317879326516,-0.373935601676662,0.502293436155494,-0.744456476554281,0.456600362672409,0.995379167273918
"ACIAD0031",35.8083761972216,-0.0147623321142572,0.273308092202791,-0.0540135200362224,0.9569243925356,0.997277757310957
"ACIAD0032",14.5949747232917,0.115478653240207,0.388603614864976,0.297163095820226,0.76634199518021,0.995379167273918
"ACIAD0034",8.92013441611601,-0.135943828688737,0.549694218295043,-0.247308092689034,0.804669796221515,0.995379167273918
"ACIAD0035",7.6156435844097,-0.503518121111478,0.584881545394657,-0.860889055358589,0.389299150115743,0.995379167273918
