"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD0001",319.113031533298,-0.910392095786038,0.184380251582759,-4.93757920368935,7.90982856117553e-07,2.7167417705214e-06
"ACIAD0002",267.286740412729,-0.619420000819255,0.217472718024711,-2.84826532010729,0.00439582603612714,0.0085608644174854
"ACIAD0003",171.841245738549,-2.06613648746963,0.194590245629294,-10.6178831358574,2.46078113710683e-26,4.08360153963045e-25
"ACIAD0004",950.004629290145,-1.80414447041617,0.179343567167448,-10.0597110836526,8.32422751474953e-24,1.20950642184356e-22
"ACIAD0005",94.8538465612076,2.59839137223252,0.424069139552965,6.12728239308248,8.93927334091114e-10,4.23842539005907e-09
"ACIAD0007",77.5549239029517,-0.705885118264145,0.250481664028774,-2.81811094237643,0.00483071152240741,0.00929867730778423
"ACIAD0008",910.410519978153,4.22046182278645,0.176027315649304,23.9761755567233,4.9294409300693e-127,5.18084241750283e-124
"ACIAD0009",154.840341577318,1.01191780113838,0.213344306272351,4.74312072733072,2.10450763296418e-06,6.85486835406617e-06
"ACIAD0010",1225.16629124484,0.920353047164542,0.282354702253583,3.2595633783282,0.00111583846664799,0.00240810313849494
"ACIAD0011",124.252174705137,-0.724694503111975,0.176071258105903,-4.11591597009029,3.85644797796673e-05,0.000106010291844194
"ACIAD0013",90.9855076419898,-0.718419579934495,0.213671499425772,-3.36226207924408,0.000773067133739084,0.00172626109963125
"ACIAD0014",64.4754175676135,1.56754304152489,0.268896897841965,5.82953189161059,5.55830739978737e-09,2.41728872159029e-08
"ACIAD0015",132.392859315154,-1.12484768247332,0.178810316453843,-6.29073145655821,3.15973538564938e-10,1.56892057810275e-09
"ACIAD0017",119.522090360088,1.44312432069593,0.206737951365457,6.98045187719243,2.94232135511442e-12,1.77722973806049e-11
"ACIAD0018",26.0503669510471,0.659311440763677,0.333175536529576,1.97887110089534,0.047830520727964,0.0736375155543313
"ACIAD0019",60.2763576361169,1.02736542677292,0.213108252538864,4.82086176641872,1.4293938426659e-06,4.77929881858492e-06
"ACIAD0020",47.917460794874,-2.66563604185143,0.300729186297823,-8.86390867034621,7.72570496606135e-19,7.51825548086155e-18
"ACIAD0021",73.8584832760957,-2.17302804889413,0.253086528870861,-8.58610712545246,8.99657863450103e-18,8.08154200415434e-17
"ACIAD0022",634.537533967451,-1.61778200700848,0.205103021686448,-7.88765564595956,3.07915998440617e-15,2.32819938389272e-14
"ACIAD0023",104.533853294483,-1.01160084627297,0.226908714243904,-4.45818420700056,8.26568568870538e-06,2.47030397881403e-05
"ACIAD0024",47.7631949837729,2.77614618730199,0.36379536791638,7.63106524198545,2.32821809104048e-14,1.64593534552705e-13
"ACIAD0025",48.8458119929299,-1.12855965119995,0.231815461614243,-4.86835366088719,1.12531808008169e-06,3.8275381947115e-06
"ACIAD0026",68.0504799224118,-0.792937927740916,0.359597137155424,-2.20507297141855,0.0274489743837206,0.0448428063377571
"ACIAD0027",7.99571394495478,-0.105861204643696,0.530178228822793,-0.199670976453994,0.841737914091542,0.875719852790964
"ACIAD0028",9.33372998185474,0.218114896860943,0.42073307636806,0.518416328813033,0.604167824352314,0.672174012061696
