gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
hcaA,ACIAD1726,lcl|CR543861.1_cds_CAG68568.1_1581,11.2227,13.6293,15.0317,22.8231,13.6415,14.7593,29.3898,44.3423,50.1345,88.2356,82.4641,75.5641
hcaK,ACIAD1727,lcl|CR543861.1_cds_CAG68569.1_1582,10.4983,9.77325,10.3048,6.73048,9.33264,11.4246,9.53634,19.4522,18.1573,164.784,161.778,132.111
hcaR,ACIAD1728,lcl|CR543861.1_cds_CAG68570.1_1583,17.3397,31.9219,25.6079,41.0902,31.5049,33.9223,28.8607,42.0748,49.9138,54.1582,59.1038,50.4712
N/A,ACIAD1729,lcl|CR543861.1_cds_CAG68571.1_1584,7.15654,11.8698,4.22092,2.27816,8.86325,8.32889,7.22885,22.4809,14.7488,20.1822,9.774,12.4975
N/A,ACIAD1730,lcl|CR543861.1_cds_CAG68572.1_1585,4.27609,4.34732,2.51919,5.47471,4.3919,2.4688,4.35897,10.1627,2.21538,6.7077,3.89482,6.41988
N/A,ACIAD1731,lcl|CR543861.1_cds_CAG68573.1_1586,11.3243,11.1339,12.1345,11.5139,5.29466,0.992992,5.23263,10.1676,18.6362,16.5423,14.0637,11.5815
N/A,ACIAD1733,lcl|CR543861.1_cds_CAG68574.1_1587,13.9959,17.1088,11.0347,11.2373,11.7724,12.9234,9.3948,12.9397,18.19,27.1315,34.1541,23.6519
N/A,ACIAD1734,lcl|CR543861.1_cds_CAG68575.1_1588,6.97289,8.30842,6.41891,5.57878,7.16274,5.87227,4.44136,1.72583,13.5449,22.0003,23.8166,15.8108
N/A,ACIAD1735,lcl|CR543861.1_cds_CAG68576.1_1589,83.8573,77.9237,58.9525,60.0359,62.099,72.1303,76.6344,89.3706,97.212,130.744,174.812,144.599
accC,ACIAD1736,lcl|CR543861.1_cds_CAG68577.1_1590,629.367,552.494,717.957,755.106,529.986,690.22,18.0807,13.309,23.1713,447.061,385.33,431.518
accB,ACIAD1737,lcl|CR543861.1_cds_CAG68578.1_1591,1028.12,819.964,1385.8,1429.51,697.174,1209.68,21.8548,15.2933,53.8808,996.977,928.472,904.794
aroQ,ACIAD1738,lcl|CR543861.1_cds_CAG68579.1_1592,134.107,141.147,293.521,275.558,154.486,232.458,43.7023,50.9557,61.1496,334.815,434.998,473.454
N/A,ACIAD1740,lcl|CR543861.1_cds_CAG68580.1_1593,7.58342,14.4651,11.1713,6.06284,10.7181,11.873,1.60812,11.2485,7.36002,18.4505,7.55435,16.8919
N/A,ACIAD1741,lcl|CR543861.1_cds_CAG68581.1_1594,20.2619,31.9343,16.3583,15.7206,22.1154,16.3072,13.3686,9.0894,16.9643,22.8899,22.3279,19.0327
N/A,ACIAD1742,lcl|CR543861.1_cds_CAG68582.1_1595,42.7444,41.6554,50.0363,54.1166,38.87,52.3069,42.4464,19.7981,32.4407,66.4133,91.5834,60.8216
N/A,ACIAD1743,lcl|CR543861.1_cds_CAG68583.1_1596,95.3956,61.1166,111.671,137.063,86.226,123.894,4.15839,8.07902,8.45163,93.0898,112.328,93.1033
aspA,ACIAD1744,lcl|CR543861.1_cds_CAG68584.1_1597,229.616,168.356,477.314,601.755,158.294,634.478,9.29041,12.9932,25.4471,36.7566,46.4718,22.5014
