gene,tag,target_id,LB0R1,LB0R2,LB0R3,LB1R1,LB1R2,LB1R3,M9LQR1,M9LQR2,M9LQR3,M9SFR1,M9SFR2,M9SFR3
dnaA,ACIAD0001,lcl|CR543861.1_cds_CAG66986.1_1,298.274,222.816,306.261,302.868,300.466,307.041,60.4627,59.4571,48.8814,154.061,135.488,164.693
dnaN,ACIAD0002,lcl|CR543861.1_cds_CAG66987.1_2,302.359,253.969,292.017,366.812,265.31,316.267,29.5314,55.0744,57.5752,189.685,151.612,227.946
recF,ACIAD0003,lcl|CR543861.1_cds_CAG66988.1_3,254.409,235.65,180.698,155.834,226.509,203.465,87.8677,69.7656,75.6724,50.6984,55.3793,59.9481
gyrB,ACIAD0004,lcl|CR543861.1_cds_CAG66989.1_4,582.122,543.316,423.388,438.286,618.666,383.969,90.857,98.774,114.133,149.325,150.072,158.646
N/A,ACIAD0005,lcl|CR543861.1_cds_CAG66990.1_5,48.0218,59.8179,57.9693,146.44,60.4595,63.1651,1780.57,2163.66,1451.08,269.374,476.839,277.298
N/A,ACIAD0006,lcl|CR543861.1_cds_CAG66991.1_6,52.9658,19.8072,0.0,26.448,0.0,16.8053,114.562,64.3137,44.4478,65.7663,33.9084,26.2988
N/A,ACIAD0007,lcl|CR543861.1_cds_CAG66992.1_7,51.6501,35.3978,47.6397,68.7794,44.9516,48.2762,3.95885,9.99562,8.02417,28.4585,26.7781,29.4893
N/A,ACIAD0008,lcl|CR543861.1_cds_CAG66993.1_8,101.64,113.751,106.917,118.825,110.147,99.2894,732.417,810.6,775.61,2230.71,2288.8,1691.66
adeT,ACIAD0009,lcl|CR543861.1_cds_CAG66994.1_9,79.8602,76.8591,114.045,74.9114,72.8793,103.168,135.785,147.091,146.342,203.142,185.528,169.595
N/A,ACIAD0010,lcl|CR543861.1_cds_CAG66995.1_10,4089.63,5068.02,2419.11,2056.21,4745.66,3930.6,5408.44,4538.85,4375.99,8031.07,5813.79,8484.96
anmK,ACIAD0011,lcl|CR543861.1_cds_CAG66996.1_11,132.806,112.1,132.093,129.063,128.984,134.315,37.2939,54.6878,47.646,74.2744,85.2622,77.1722
tyrS,ACIAD0013,lcl|CR543861.1_cds_CAG66997.1_12,109.179,86.1812,96.6309,128.176,99.9467,99.1496,5.53872,5.16454,5.06038,65.622,50.3207,64.9121
N/A,ACIAD0014,lcl|CR543861.1_cds_CAG66998.1_13,156.67,210.243,119.414,135.637,212.321,148.489,735.062,834.608,601.372,481.741,559.621,468.75
N/A,ACIAD0015,lcl|CR543861.1_cds_CAG66999.1_14,75.8047,90.4696,71.7418,60.0145,76.3758,78.662,26.0847,31.1571,31.7216,34.3151,34.707,43.4773
N/A,ACIAD0017,lcl|CR543861.1_cds_CAG67000.1_15,69.7947,108.469,69.366,74.804,92.4576,101.656,242.334,294.528,292.909,233.025,257.285,225.59
N/A,ACIAD0018,lcl|CR543861.1_cds_CAG67001.1_16,90.2068,95.2844,66.5658,14.0153,71.7768,102.935,117.407,179.924,193.941,132.637,156.18,131.022
N/A,ACIAD0019,lcl|CR543861.1_cds_CAG67002.1_17,74.0666,102.773,95.9737,71.6162,72.9404,72.1562,93.7209,116.357,88.1106,196.727,193.189,186.083
fkpB,ACIAD0020,lcl|CR543861.1_cds_CAG67003.1_18,223.287,204.819,161.702,234.084,207.27,134.382,53.6245,20.8452,27.4733,30.543,31.7153,34.0001
lspA,ACIAD0021,lcl|CR543861.1_cds_CAG67004.1_19,216.68,328.261,295.589,199.217,305.447,221.793,24.3742,24.8741,28.0434,77.4453,66.2924,50.4314
ileS,ACIAD0022,lcl|CR543861.1_cds_CAG67005.1_20,322.078,302.153,267.292,348.343,316.864,267.198,26.2672,22.9553,32.5829,115.345,70.055,113.389
ribF,ACIAD0023,lcl|CR543861.1_cds_CAG67006.1_21,139.424,146.576,177.714,178.835,135.618,112.916,6.93066,17.7739,14.7904,80.3073,76.1234,80.6045
N/A,ACIAD0024,lcl|CR543861.1_cds_CAG67007.1_22,11.3733,21.2072,17.7924,9.11332,16.0421,9.55698,8.47325,9.87648,14.7514,110.785,69.6074,176.221
N/A,ACIAD0025,lcl|CR543861.1_cds_CAG67008.1_23,90.1503,96.2984,74.3256,65.1322,82.8249,67.3272,23.6216,25.4222,36.0653,33.4108,45.2042,46.9418
N/A,ACIAD0026,lcl|CR543861.1_cds_CAG67009.1_24,110.027,103.895,215.605,254.11,99.6195,162.426,38.0156,41.3806,58.199,75.2458,87.4808,93.4951
N/A,ACIAD0027,lcl|CR543861.1_cds_CAG67010.1_25,7.22119,4.12577,5.3163,12.7284,5.9267,4.16154,1.22947,5.73234,9.36499,5.40696,5.75565,4.74645
N/A,ACIAD0028,lcl|CR543861.1_cds_CAG67011.1_26,16.6784,11.3811,14.0468,9.50241,13.4979,8.06157,2.01321,11.7371,9.22809,16.7387,13.5607,18.2262
N/A,ACIAD0029,lcl|CR543861.1_cds_CAG67012.1_27,31.4492,28.2525,13.9436,44.3045,26.3413,21.7246,15.5167,18.0903,31.9479,30.7536,28.4227,32.9307
N/A,ACIAD0030,lcl|CR543861.1_cds_CAG67013.1_28,18.6839,17.3654,32.5785,24.2678,10.5427,14.8761,11.3896,13.2838,17.4589,33.424,19.3279,20.6299
N/A,ACIAD0031,lcl|CR543861.1_cds_CAG67014.1_29,31.2735,29.2072,28.4566,20.0745,33.7901,27.7949,13.5868,11.3108,7.38511,25.488,17.4827,20.4834
N/A,ACIAD0032,lcl|CR543861.1_cds_CAG67015.1_30,13.4961,22.6811,15.6216,13.8706,21.8027,17.651,11.4449,13.3426,4.98913,17.4508,12.0723,15.0675
ssuB,ACIAD0034,lcl|CR543861.1_cds_CAG67016.1_31,9.52409,13.4672,6.23706,13.5225,10.8877,3.06338,3.58421,14.6259,10.9436,11.2203,8.4328,10.9112
ssuC,ACIAD0035,lcl|CR543861.1_cds_CAG67017.1_32,5.36609,10.2445,11.0698,10.284,5.52166,3.10741,7.26819,10.5926,8.32277,9.54595,8.55214,9.38836
ssuD,ACIAD0036,lcl|CR543861.1_cds_CAG67018.1_33,9.97625,5.48658,1.95833,8.53053,4.77395,5.10647,4.53357,5.28418,3.45203,6.33277,3.7866,7.91281
ssuA,ACIAD0037,lcl|CR543861.1_cds_CAG67019.1_34,4.0477,7.71343,2.38441,10.3691,4.15572,2.33547,12.3875,6.41776,6.29394,10.4834,6.45208,5.06537
ssuA,ACIAD0038,lcl|CR543861.1_cds_CAG67020.1_35,7.9538,8.58813,5.85657,5.09455,4.89904,4.58835,4.05785,11.037,8.24625,23.3056,14.4898,11.9451
argA,ACIAD0039,lcl|CR543861.1_cds_CAG67021.1_36,68.1759,53.408,64.0903,66.1924,37.5689,42.8337,14.6663,23.9308,26.7863,50.1972,59.3684,56.709
N/A,ACIAD0040,lcl|CR543861.1_cds_CAG67022.1_37,95.6032,88.4493,63.3464,103.736,65.9108,66.305,155.026,208.339,168.933,91.8169,90.2983,106.36
N/A,ACIAD0041,lcl|CR543861.1_cds_CAG67023.1_38,182.234,136.598,107.664,140.824,228.233,192.989,800.519,760.822,642.129,272.023,193.636,265.899
N/A,ACIAD0042,lcl|CR543861.1_cds_CAG67024.1_39,367.11,344.323,309.42,413.579,359.956,318.525,624.531,728.198,672.43,313.029,307.072,279.81
N/A,ACIAD0043,lcl|CR543861.1_cds_CAG67025.1_40,157.148,106.542,113.045,194.419,142.523,88.8001,29.7125,44.5457,42.1729,64.257,48.6537,62.3912
ubiG,ACIAD0044,lcl|CR543861.1_cds_CAG67026.1_41,336.375,296.243,242.442,260.303,313.478,253.605,269.399,314.132,363.861,182.783,201.295,182.595
dsbA,ACIAD0045,lcl|CR543861.1_cds_CAG67027.1_42,426.728,455.815,514.476,521.592,391.182,489.818,715.133,696.005,589.776,453.59,441.342,521.832
N/A,ACIAD0046,lcl|CR543861.1_cds_CAG67028.1_43,132.522,131.42,140.111,142.876,122.868,97.2511,97.0451,84.2174,103.544,136.542,123.411,114.014
N/A,ACIAD0047,lcl|CR543861.1_cds_CAG67029.1_44,307.307,275.596,269.319,226.068,276.811,336.083,34.155,48.3677,44.8028,132.643,125.381,169.947
N/A,ACIAD0048,lcl|CR543861.1_cds_CAG67030.1_45,1110.35,1054.32,375.992,323.504,1352.13,383.127,33.8154,34.6877,55.6622,46.0693,29.8852,37.8262
N/A,ACIAD0049,lcl|CR543861.1_cds_CAG67031.1_46,306.279,261.53,189.335,173.986,492.833,207.1,169.589,144.135,165.029,108.899,118.087,101.507
rph,ACIAD0050,lcl|CR543861.1_cds_CAG67032.1_47,337.26,246.369,343.843,357.578,367.498,367.161,60.5422,70.5909,83.5327,150.726,140.68,138.507
N/A,ACIAD0051,lcl|CR543861.1_cds_CAG67033.1_48,143.077,118.723,135.102,207.124,112.215,149.434,159.651,199.784,209.723,158.213,189.102,173.793
N/A,ACIAD0052,lcl|CR543861.1_cds_CAG67034.1_49,167.155,195.509,244.039,152.312,134.371,190.545,139.932,236.117,178.077,321.403,305.487,368.628
N/A,ACIAD0053,lcl|CR543861.1_cds_CAG67035.1_50,75.8608,152.653,105.409,41.7854,75.2998,175.511,149.751,180.37,116.473,240.424,189.277,309.309
N/A,ACIAD0054,lcl|CR543861.1_cds_CAG67036.1_51,78.2035,124.498,87.4908,37.3632,46.8424,88.2938,55.0625,87.1375,60.5263,164.83,110.326,233.578
N/A,ACIAD0055,lcl|CR543861.1_cds_CAG67037.1_52,71.6765,163.881,0.0,0.0,76.49,266.917,303.699,129.501,0.0,139.237,63.4137,168.338
N/A,ACIAD0056,lcl|CR543861.1_cds_CAG67038.1_53,169.052,324.097,112.261,31.8181,251.193,279.908,659.946,463.129,321.9,416.146,259.136,380.682
N/A,ACIAD0057,lcl|CR543861.1_cds_54,21.1598,27.1478,17.8602,0.0,34.7562,5.95823,19.9072,34.816,23.0437,28.482,27.3563,35.41
N/A,ACIAD0058,lcl|CR543861.1_cds_55,57.1662,8.31091,39.6202,64.396,31.0419,13.761,45.9973,0.0,0.0,13.7196,28.1052,11.0627
N/A,ACIAD0059,lcl|CR543861.1_cds_56,11.0062,0.0,0.0,16.6103,11.9156,10.7362,0.0,0.0,0.0,3.61683,0.0,8.88587
N/A,ACIAD0060,lcl|CR543861.1_cds_CAG67042.1_57,340.147,303.729,296.948,169.213,365.309,140.48,193.481,0.0,97.0018,188.173,100.054,194.561
N/A,ACIAD0061,lcl|CR543861.1_cds_CAG67043.1_58,91.2718,102.401,32.1315,51.5161,49.3566,77.6044,0.0,0.0,28.5428,59.7812,23.1446,82.2668
nadC,ACIAD0062,lcl|CR543861.1_cds_CAG67044.1_59,63.8952,43.7097,71.3101,109.886,48.769,75.5736,6.56733,7.65634,7.51526,51.2559,48.4949,49.9334
ampD,ACIAD0063,lcl|CR543861.1_cds_CAG67045.1_60,83.3483,215.962,170.225,137.531,160.697,246.196,83.4171,69.0404,65.9573,87.3005,58.369,84.3962
N/A,ACIAD0064,lcl|CR543861.1_cds_CAG67046.1_61,134.683,120.386,126.334,137.062,122.752,179.502,64.9141,60.9149,58.9926,82.168,56.7445,95.3887
fklB,ACIAD0065,lcl|CR543861.1_cds_CAG67047.1_62,189.202,140.128,135.677,191.546,144.954,175.7,19.4166,17.6099,32.9812,75.0121,80.031,71.8151
fkpA,ACIAD0066,lcl|CR543861.1_cds_CAG67048.1_63,174.749,151.401,172.347,286.618,143.819,144.756,36.0795,47.0204,45.417,112.126,130.22,120.466
ptk,ACIAD0068,lcl|CR543861.1_cds_CAG67049.1_64,271.754,279.296,240.866,283.163,255.719,229.689,125.106,93.8608,103.307,78.4267,76.7128,92.8662
ptp,ACIAD0069,lcl|CR543861.1_cds_CAG67050.1_65,240.169,230.884,215.12,402.054,199.627,147.973,59.2208,34.5269,32.576,71.1859,81.1494,78.2601
wza,ACIAD0070,lcl|CR543861.1_cds_CAG67051.1_66,449.122,474.744,415.187,466.955,419.774,330.186,254.87,204.785,229.956,226.333,230.87,206.08
ugd,ACIAD0072,lcl|CR543861.1_cds_CAG67052.1_67,157.105,162.566,143.812,116.066,136.605,150.162,38.4022,51.5429,47.8542,100.142,113.557,107.776
N/A,ACIAD0073,lcl|CR543861.1_cds_CAG67053.1_68,57.8236,65.6955,37.7031,19.7042,49.6928,57.5382,8.04061,13.1233,12.2667,55.0279,24.8214,56.899
N/A,ACIAD0074,lcl|CR543861.1_cds_CAG67054.1_69,55.3122,78.2483,45.9922,24.2633,32.0804,63.5578,4.54444,5.29772,4.62036,35.0051,37.5812,44.638
N/A,ACIAD0075,lcl|CR543861.1_cds_CAG67055.1_70,72.8854,127.557,51.7984,20.1546,68.2742,81.9705,16.0706,12.4873,16.3119,29.0434,18.6025,27.7432
rmlB,ACIAD0076,lcl|CR543861.1_cds_CAG67056.1_71,588.264,521.309,514.635,580.379,517.875,473.346,58.9619,76.199,70.3109,159.27,127.787,120.923
rmlD,ACIAD0078,lcl|CR543861.1_cds_CAG67057.1_72,650.387,741.745,658.058,611.828,646.673,660.823,434.396,343.052,339.604,241.091,191.121,192.462
rmlA,ACIAD0079,lcl|CR543861.1_cds_CAG67058.1_73,728.927,828.815,900.038,746.971,718.599,764.725,94.5461,124.917,120.184,233.624,216.72,171.293
rmlC,ACIAD0080,lcl|CR543861.1_cds_CAG67059.1_74,600.673,664.87,689.316,524.222,612.607,694.571,519.154,518.522,505.66,286.592,260.942,236.615
N/A,ACIAD0081,lcl|CR543861.1_cds_CAG67060.2_75,75.5657,122.696,67.6844,58.6394,63.9687,91.3579,72.8835,37.0724,28.273,61.8291,36.3671,65.8156
N/A,ACIAD0082,lcl|CR543861.1_cds_CAG67061.1_76,142.944,224.881,173.311,83.6817,177.278,301.164,88.8273,84.5655,45.1498,100.19,63.511,140.116
N/A,ACIAD0083,lcl|CR543861.1_cds_CAG67062.1_77,38.3406,88.2428,30.1167,17.7267,56.0042,74.6029,18.819,8.43763,8.82858,18.5941,14.5509,24.5177
N/A,ACIAD0084,lcl|CR543861.1_cds_CAG67063.1_78,138.882,166.285,123.42,99.6899,110.618,159.627,44.7911,34.808,31.0312,51.4001,54.5274,47.6978
N/A,ACIAD0085,lcl|CR543861.1_cds_CAG67064.1_79,124.005,235.377,162.069,84.3806,186.416,250.83,96.7525,59.5951,80.831,64.1923,66.2863,75.7979
epsM,ACIAD0086,lcl|CR543861.1_cds_CAG67065.1_80,200.234,169.736,164.978,166.815,133.77,142.849,81.7556,85.5384,59.3766,170.669,152.427,170.806
N/A,ACIAD0087,lcl|CR543861.1_cds_CAG67066.1_81,254.67,272.814,296.527,255.218,251.712,263.94,179.543,182.802,224.623,147.776,192.186,138.491
N/A,ACIAD0088,lcl|CR543861.1_cds_CAG67067.1_82,454.168,412.424,404.536,370.59,399.945,391.212,80.3247,113.919,120.379,168.397,152.356,167.472
N/A,ACIAD0089,lcl|CR543861.1_cds_CAG67068.1_83,215.383,203.587,198.936,190.666,207.758,208.851,12.3497,15.5933,17.2331,36.0764,32.2895,36.8458
N/A,ACIAD0090,lcl|CR543861.1_cds_CAG67069.1_84,165.498,138.393,121.306,167.051,145.862,126.059,22.3408,40.5081,30.2543,30.0274,30.7153,33.3154
N/A,ACIAD0091,lcl|CR543861.1_cds_CAG67070.1_85,127.353,109.365,120.318,121.484,150.309,89.8144,33.8329,23.3698,40.0917,33.58,30.1753,29.721
N/A,ACIAD0092,lcl|CR543861.1_cds_CAG67071.1_86,228.166,205.875,209.835,191.282,197.314,185.385,50.2186,62.7158,43.7112,65.9283,79.1401,61.9732
N/A,ACIAD0093,lcl|CR543861.1_cds_CAG67072.1_87,247.316,209.191,183.484,205.108,213.123,184.159,28.0597,32.7254,50.7708,64.7872,56.9826,53.9146
N/A,ACIAD0094,lcl|CR543861.1_cds_CAG67073.1_88,173.939,173.381,133.023,150.05,192.824,169.685,41.9142,43.7314,40.4766,69.1391,56.5654,75.0885
per,ACIAD0095,lcl|CR543861.1_cds_CAG67074.1_89,172.789,147.777,150.051,168.799,161.277,134.109,11.5003,16.0854,10.5088,36.041,32.2794,39.7266
N/A,ACIAD0096,lcl|CR543861.1_cds_CAG67075.1_90,140.405,129.514,87.2926,98.54,159.022,107.784,8.12298,10.2549,12.3491,31.4829,30.1793,27.9011
N/A,ACIAD0098,lcl|CR543861.1_cds_CAG67076.1_91,269.52,260.702,238.533,189.796,240.026,295.934,31.0555,33.9325,29.5404,123.771,124.321,146.055
galU,ACIAD0099,lcl|CR543861.1_cds_CAG67077.1_92,460.668,444.743,394.931,341.141,438.572,431.995,33.6325,42.943,39.092,163.099,126.816,180.911
N/A,ACIAD0100,lcl|CR543861.1_cds_CAG67078.1_93,393.262,424.646,381.105,355.939,425.207,368.902,211.3,221.771,259.268,203.81,226.014,196.706
pgi,ACIAD0101,lcl|CR543861.1_cds_CAG67079.1_94,485.596,607.936,528.959,427.837,534.992,578.052,241.219,216.241,272.786,260.573,270.33,226.891
galE,ACIAD0102,lcl|CR543861.1_cds_CAG67080.1_95,676.85,562.734,513.664,492.059,628.474,484.254,210.382,256.314,258.593,220.83,223.562,204.027
N/A,ACIAD0103,lcl|CR543861.1_cds_CAG67081.1_96,177.426,159.514,104.827,115.876,172.536,102.452,15.8908,13.2277,16.1103,43.1931,37.2882,45.6296
manB,ACIAD0104,lcl|CR543861.1_cds_CAG67082.1_97,172.698,164.27,203.526,220.996,160.169,209.872,38.5329,43.7866,42.5164,121.692,114.398,124.993
N/A,ACIAD0105,lcl|CR543861.1_cds_CAG67083.1_98,90.0713,83.2357,67.0241,50.4911,71.5736,56.3482,17.3335,42.2513,43.2664,43.4281,48.6297,38.3231
lldP,ACIAD0106,lcl|CR543861.1_cds_CAG67084.1_99,195.394,233.42,173.064,160.989,221.088,197.507,28.1666,25.5306,32.1283,28.8564,26.0565,23.3784
lldR,ACIAD0107,lcl|CR543861.1_cds_CAG67085.1_100,156.721,202.545,119.764,201.922,193.662,155.927,109.915,96.119,134.927,48.9122,39.6442,46.7658
lldD,ACIAD0108,lcl|CR543861.1_cds_CAG67086.1_101,318.447,326.354,229.353,288.367,304.695,203.819,22.3093,26.0034,30.4026,56.5101,44.7371,57.1817
dld,ACIAD0109,lcl|CR543861.1_cds_CAG67087.1_102,328.842,360.506,243.567,217.976,296.565,212.133,20.2743,32.378,29.6891,34.8216,39.5002,36.3324
N/A,ACIAD0110,lcl|CR543861.1_cds_CAG67088.1_103,416.352,420.856,330.085,320.224,389.687,383.676,140.594,124.993,145.357,287.799,294.458,300.581
N/A,ACIAD0111,lcl|CR543861.1_cds_CAG67089.1_104,50.7002,99.9672,111.079,87.4739,101.702,100.362,122.327,238.689,79.8353,199.064,220.308,227.773
tyrB,ACIAD0112,lcl|CR543861.1_cds_CAG67090.1_105,177.416,160.817,178.911,278.236,144.59,197.676,74.2188,71.0125,89.4,321.04,236.063,324.154
lrp,ACIAD0114,lcl|CR543861.1_cds_CAG67091.1_106,60.2313,61.4583,42.8371,35.2169,60.2596,50.2259,133.565,129.804,102.686,38.7385,30.4174,34.6114
dadA,ACIAD0115,lcl|CR543861.1_cds_CAG67092.1_107,2091.93,2857.4,4163.87,3295.33,2322.57,4095.02,4770.26,5462.04,6706.03,310.897,370.41,240.812
dadX,ACIAD0116,lcl|CR543861.1_cds_CAG67093.1_108,964.0,769.889,1420.52,1828.19,818.719,1198.64,302.56,388.954,625.987,122.492,146.575,137.58
N/A,ACIAD0117,lcl|CR543861.1_cds_CAG67094.1_109,551.473,420.768,1281.81,2152.24,437.671,974.811,147.925,232.224,343.019,189.322,258.115,287.589
cycA,ACIAD0118,lcl|CR543861.1_cds_CAG67095.1_110,755.894,570.136,1587.09,1202.29,793.994,1569.44,262.658,355.281,440.581,410.167,401.614,470.066
N/A,ACIAD0119,lcl|CR543861.1_cds_CAG67096.1_111,3496.51,2964.13,1261.95,1778.35,2911.43,2246.08,214.13,156.546,245.256,213.212,206.665,204.028
N/A,ACIAD0120,lcl|CR543861.1_cds_CAG67097.1_112,305.458,322.243,147.653,211.004,322.398,303.848,10.4418,14.6108,28.7258,51.3149,35.1915,51.3427
N/A,ACIAD0121,lcl|CR543861.1_cds_CAG67098.1_113,200.613,216.139,70.5966,87.1047,191.067,121.734,4.30592,3.90244,7.26811,12.4543,8.89816,11.9922
N/A,ACIAD0122,lcl|CR543861.1_cds_CAG67099.1_114,354.697,390.036,149.844,124.301,287.339,186.265,73.9723,74.3578,94.271,46.1388,49.9505,38.5118
N/A,ACIAD0123,lcl|CR543861.1_cds_CAG67100.1_115,89.3484,116.088,36.8728,38.0096,74.8522,49.5211,6.03964,14.0845,12.3041,12.2478,9.49247,17.8543
N/A,ACIAD0124,lcl|CR543861.1_cds_CAG67101.1_116,36.2293,73.3379,34.7449,14.8341,43.2633,41.3402,12.8857,18.3591,15.2796,14.0759,14.3892,16.867
N/A,ACIAD0125,lcl|CR543861.1_cds_CAG67102.1_117,59.7194,61.4766,41.8923,34.8614,51.6416,45.6652,28.9462,14.9981,29.4401,44.0223,51.8013,29.9312
garD,ACIAD0126,lcl|CR543861.1_cds_CAG67103.1_118,18.7471,27.2042,15.9733,22.9757,21.7215,22.2015,16.0178,18.6675,12.8245,29.1186,29.215,19.4797
gudP,ACIAD0127,lcl|CR543861.1_cds_CAG67104.1_119,10.3663,16.2458,15.26,12.7162,20.6248,8.18711,7.28053,14.5468,9.50011,26.9358,17.3595,16.6147
gudD,ACIAD0128,lcl|CR543861.1_cds_CAG67105.1_120,15.163,13.6852,9.443,14.9721,11.9521,5.59089,13.932,13.9181,22.7204,21.7895,23.2439,16.0751
kdgD,ACIAD0130,lcl|CR543861.1_cds_CAG67106.1_121,9.13644,10.4539,9.42066,4.3841,9.38855,2.63957,6.20323,9.03948,16.5577,16.8388,20.8037,13.7127
N/A,ACIAD0131,lcl|CR543861.1_cds_CAG67107.1_122,21.2011,26.2625,13.4732,20.1209,19.733,16.1451,29.6474,19.1953,26.3065,41.0183,27.4367,34.8823
N/A,ACIAD0132,lcl|CR543861.1_cds_CAG67108.1_123,68.389,80.8071,84.3121,81.2888,57.6605,101.044,23.0952,39.1712,41.7171,83.1581,89.1671,76.0741
N/A,ACIAD0133,lcl|CR543861.1_cds_CAG67109.1_124,39.0463,42.068,26.2536,21.7366,40.1016,20.4179,50.4801,26.9009,48.3774,19.6815,29.9596,21.506
N/A,ACIAD0134,lcl|CR543861.1_cds_125,110.711,195.406,74.5706,82.6821,159.273,87.4979,210.252,168.087,278.332,91.3294,88.3135,86.2929
N/A,ACIAD0135,lcl|CR543861.1_cds_CAG67111.1_126,51.2403,70.9982,50.3038,29.842,47.8116,55.9688,52.8274,56.9605,44.2784,61.0867,60.9943,59.0326
N/A,ACIAD0136,lcl|CR543861.1_cds_CAG67112.1_127,47.0173,59.2673,33.7397,18.8594,49.9879,31.5538,27.0753,43.2439,54.9495,22.5588,31.4551,24.299
N/A,ACIAD0137,lcl|CR543861.1_cds_CAG67113.1_128,9.70118,13.3266,7.9326,13.8422,12.6975,9.29458,6.44215,6.4355,7.00197,7.31766,10.4338,6.92299
N/A,ACIAD0138,lcl|CR543861.1_cds_CAG67114.1_129,23.2439,31.9525,30.6545,13.6571,31.5111,27.2127,53.7245,65.0541,63.1563,33.5555,23.6729,39.3365
N/A,ACIAD0139,lcl|CR543861.1_cds_CAG67115.1_130,16.3763,20.3909,18.7499,18.4867,15.5411,21.521,10.3458,14.4699,6.29981,18.9596,21.4109,17.2862
N/A,ACIAD0141,lcl|CR543861.1_cds_CAG67116.1_131,35.8382,18.209,0.0,52.9413,38.245,0.0,0.0,0.0,92.0095,39.7819,0.0,16.0321
N/A,ACIAD0142,lcl|CR543861.1_cds_CAG67117.1_132,133.289,152.855,115.245,264.118,156.107,168.723,52.2911,87.2462,46.4929,94.8859,56.3848,115.199
N/A,ACIAD0143,lcl|CR543861.1_cds_CAG67118.1_133,143.233,137.782,88.1568,130.966,171.481,120.511,24.5781,34.3818,22.7535,110.4,131.662,114.117
N/A,ACIAD0144,lcl|CR543861.1_cds_CAG67119.1_134,369.076,355.691,357.544,226.22,366.056,341.278,279.33,261.726,347.85,248.838,270.518,245.227
N/A,ACIAD0145,lcl|CR543861.1_cds_CAG67120.1_135,185.037,188.72,165.638,176.031,225.307,190.232,92.5455,124.106,121.291,139.925,126.974,202.672
N/A,ACIAD0147,lcl|CR543861.1_cds_CAG67121.1_136,126.625,181.163,127.668,150.265,132.533,155.82,37.6722,31.382,78.3243,134.819,124.034,128.342
N/A,ACIAD0148,lcl|CR543861.1_cds_CAG67122.1_137,96.7779,85.8571,80.9706,72.9409,80.9053,127.897,8.82404,20.5795,6.74611,60.609,46.1454,88.5555
N/A,ACIAD0149,lcl|CR543861.1_cds_CAG67123.1_138,66.0743,62.6832,62.4587,12.4667,63.3794,70.0886,21.8548,56.0753,13.4702,74.6351,74.8768,68.6565
N/A,ACIAD0150,lcl|CR543861.1_cds_CAG67124.1_139,179.464,132.253,147.214,135.128,142.919,157.627,289.264,286.317,320.23,181.257,251.194,272.723
guaA,ACIAD0151,lcl|CR543861.1_cds_CAG67125.1_140,491.534,347.497,460.861,452.265,461.376,529.217,25.871,31.9772,35.7698,181.107,128.457,223.476
N/A,ACIAD0152,lcl|CR543861.1_cds_CAG67126.1_141,35.6418,49.5935,33.7994,17.5356,31.9168,51.192,71.7047,60.0178,57.5389,109.991,90.583,121.326
N/A,ACIAD0154,lcl|CR543861.1_cds_CAG67127.1_142,169.299,206.912,63.8584,44.7049,179.271,60.5222,12.5786,7.33475,19.3033,53.3782,40.6501,63.195
N/A,ACIAD0155,lcl|CR543861.1_cds_CAG67128.1_143,30.4593,58.4781,12.8478,0.0,46.0929,47.4656,7.08077,8.27597,33.0113,19.8191,34.0686,35.6228
N/A,ACIAD0156,lcl|CR543861.1_cds_CAG67129.1_144,70.0356,72.9027,79.0252,83.0807,117.41,61.499,62.7208,87.6792,58.8544,63.6762,116.268,104.323
N/A,ACIAD0157,lcl|CR543861.1_cds_CAG67130.1_145,149.917,131.273,123.243,145.048,123.557,124.995,182.096,172.583,212.204,181.651,172.67,131.938
N/A,ACIAD0158,lcl|CR543861.1_cds_CAG67131.1_146,87.262,69.0031,64.4523,73.0112,66.8577,40.0993,33.5724,55.9135,29.5981,86.3253,88.88,82.5922
N/A,ACIAD0159,lcl|CR543861.1_cds_CAG67132.1_147,52.615,49.4674,54.2936,52.3983,37.9767,45.8556,46.5886,54.3275,50.8848,44.7087,52.4008,56.64
N/A,ACIAD0160,lcl|CR543861.1_cds_CAG67133.1_148,126.392,117.473,98.8296,88.5918,120.949,95.5792,118.71,119.173,138.363,75.3907,94.0836,78.4098
N/A,ACIAD0161,lcl|CR543861.1_cds_CAG67134.1_149,55.2879,72.0144,56.0724,43.4945,78.2302,59.3474,32.3111,39.4609,42.2405,49.4896,45.4034,39.1113
N/A,ACIAD0162,lcl|CR543861.1_cds_CAG67135.1_150,46.2403,39.2451,32.1958,38.0845,42.2754,43.1556,33.0319,18.6289,27.5788,28.67,37.0005,27.0041
N/A,ACIAD0163,lcl|CR543861.1_cds_CAG67136.1_151,302.425,257.774,200.029,223.041,312.462,213.551,83.8046,79.4152,36.0986,112.245,97.5731,122.908
argS,ACIAD0164,lcl|CR543861.1_cds_CAG67137.1_152,236.232,172.778,194.489,262.979,214.254,209.506,20.8181,27.6068,26.1964,80.7575,73.5908,91.8153
N/A,ACIAD0165,lcl|CR543861.1_cds_CAG67138.1_153,181.122,186.28,172.589,132.437,155.727,169.844,121.089,150.634,156.649,80.6701,89.3776,72.4109
sfcA,ACIAD0166,lcl|CR543861.1_cds_CAG67139.1_154,686.714,485.201,1036.03,1253.9,562.375,1006.87,588.72,676.345,701.215,195.736,337.916,166.383
