"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACIAD_RS00005",319.316799216499,-1.56541408983481,0.215607506420412,-7.26048047131729,3.85717735099292e-13,1.91943398241657e-12
"ACIAD_RS00010",267.401716640371,-1.90132487527713,0.259580148717274,-7.32461586401197,2.39583989859109e-13,1.22121823031912e-12
"ACIAD_RS00015",172.022013064926,-0.795134501465046,0.215306501523297,-3.69303525829205,0.00022159328584617,0.000465849521381153
"ACIAD_RS00020",950.588844938909,-1.65386379819279,0.187727019610181,-8.80994010146797,1.25212747501215e-18,8.82946392133009e-18
"ACIAD_RS00025",100.599173076903,5.76895927430027,0.401559882990931,14.3663735314679,8.4122223504314e-47,2.5438883934718e-45
"ACIAD_RS00030",77.6222749129785,-1.94097911929965,0.365767165894748,-5.30659747588764,1.11690445366418e-07,3.45394740095757e-07
"ACIAD_RS00035",910.049913232968,3.5618728564877,0.179006160627468,19.8980462125008,4.23102302888561e-88,6.33646067897393e-86
"ACIAD_RS00040",154.336321109326,1.40507668613123,0.228082408701485,6.16039042261345,7.25658133863492e-10,2.74632350300925e-09
"ACIAD_RS00045",1225.90565127527,1.10115973901324,0.285705644489423,3.85417565334102,0.000116120208771415,0.000253962487194784
"ACIAD_RS00050",124.232895300789,-0.719049733299029,0.222074178277745,-3.23788086879566,0.00120421082877104,0.00230788729828454
"ACIAD_RS00055",91.0059299174525,-3.47753538331226,0.46349620403552,-7.50283465761838,6.24523091573418e-14,3.28999183081809e-13
"ACIAD_RS00060",64.5464762700354,2.89931413516593,0.281995831471852,10.2814077783817,8.54699438345986e-25,8.96009911199376e-24
"ACIAD_RS00065",130.904721362018,-0.783844179863915,0.218234773362778,-3.59174740022255,0.00032846814916017,0.00067342394335641
"ACIAD_RS00095",119.63851503353,2.43864803763787,0.218813270497805,11.1448818076248,7.58449247358539e-29,1.01073003514517e-27
"ACIAD_RS00100",26.079298312784,1.68490970320736,0.36948768202359,4.56012415347525,5.11233862646131e-06,1.3233172823227e-05
